Year,Commodity,Value_A$m,TradeType
2014,0 Food and live animals ;,31103,Exports
2015,0 Food and live animals ;,35650,Exports
2016,0 Food and live animals ;,32621,Exports
2017,0 Food and live animals ;,36596,Exports
2018,0 Food and live animals ;,35271,Exports
2019,0 Food and live animals ;,37649,Exports
2020,0 Food and live animals ;,35628,Exports
2021,0 Food and live animals ;,43540,Exports
2022,0 Food and live animals ;,53122,Exports
2023,0 Food and live animals ;,54749,Exports
2024,0 Food and live animals ;,52718,Exports
2014,"00 Live animals (excl. fish (not marine mammals) crustaceans, molluscs and aquatic invertebrates of SITC Division 03) ;",1617,Exports
2015,"00 Live animals (excl. fish (not marine mammals) crustaceans, molluscs and aquatic invertebrates of SITC Division 03) ;",1897,Exports
2016,"00 Live animals (excl. fish (not marine mammals) crustaceans, molluscs and aquatic invertebrates of SITC Division 03) ;",1874,Exports
2017,"00 Live animals (excl. fish (not marine mammals) crustaceans, molluscs and aquatic invertebrates of SITC Division 03) ;",1618,Exports
2018,"00 Live animals (excl. fish (not marine mammals) crustaceans, molluscs and aquatic invertebrates of SITC Division 03) ;",1825,Exports
2019,"00 Live animals (excl. fish (not marine mammals) crustaceans, molluscs and aquatic invertebrates of SITC Division 03) ;",2126,Exports
2020,"00 Live animals (excl. fish (not marine mammals) crustaceans, molluscs and aquatic invertebrates of SITC Division 03) ;",1949,Exports
2021,"00 Live animals (excl. fish (not marine mammals) crustaceans, molluscs and aquatic invertebrates of SITC Division 03) ;",1646,Exports
2022,"00 Live animals (excl. fish (not marine mammals) crustaceans, molluscs and aquatic invertebrates of SITC Division 03) ;",1518,Exports
2023,"00 Live animals (excl. fish (not marine mammals) crustaceans, molluscs and aquatic invertebrates of SITC Division 03) ;",1236,Exports
2024,"00 Live animals (excl. fish (not marine mammals) crustaceans, molluscs and aquatic invertebrates of SITC Division 03) ;",1114,Exports
2014,01 Meat and meat preparations ;,11574,Exports
2015,01 Meat and meat preparations ;,13138,Exports
2016,01 Meat and meat preparations ;,11088,Exports
2017,01 Meat and meat preparations ;,11834,Exports
2018,01 Meat and meat preparations ;,13605,Exports
2019,01 Meat and meat preparations ;,16462,Exports
2020,01 Meat and meat preparations ;,14705,Exports
2021,01 Meat and meat preparations ;,14801,Exports
2022,01 Meat and meat preparations ;,16600,Exports
2023,01 Meat and meat preparations ;,17798,Exports
2024,01 Meat and meat preparations ;,21379,Exports
2014,02 Dairy products and birds’ eggs ;,2560,Exports
2015,02 Dairy products and birds’ eggs ;,2388,Exports
2016,02 Dairy products and birds’ eggs ;,2208,Exports
2017,02 Dairy products and birds’ eggs ;,2345,Exports
2018,02 Dairy products and birds’ eggs ;,2481,Exports
2019,02 Dairy products and birds’ eggs ;,2488,Exports
2020,02 Dairy products and birds’ eggs ;,2544,Exports
2021,02 Dairy products and birds’ eggs ;,2947,Exports
2022,02 Dairy products and birds’ eggs ;,3385,Exports
2023,02 Dairy products and birds’ eggs ;,3000,Exports
2024,02 Dairy products and birds’ eggs ;,3437,Exports
2014,"03 Fish (excl. marine mammals) crustaceans, molluscs and aquatic invertebrates, and preparations thereof (excl. extracts and juices of fish, crustaceans, molluscs or other aquatic invertebrates, prepared or preserved of SITC 01710) ;",1210,Exports
2015,"03 Fish (excl. marine mammals) crustaceans, molluscs and aquatic invertebrates, and preparations thereof (excl. extracts and juices of fish, crustaceans, molluscs or other aquatic invertebrates, prepared or preserved of SITC 01710) ;",1396,Exports
2016,"03 Fish (excl. marine mammals) crustaceans, molluscs and aquatic invertebrates, and preparations thereof (excl. extracts and juices of fish, crustaceans, molluscs or other aquatic invertebrates, prepared or preserved of SITC 01710) ;",1379,Exports
2017,"03 Fish (excl. marine mammals) crustaceans, molluscs and aquatic invertebrates, and preparations thereof (excl. extracts and juices of fish, crustaceans, molluscs or other aquatic invertebrates, prepared or preserved of SITC 01710) ;",1424,Exports
2018,"03 Fish (excl. marine mammals) crustaceans, molluscs and aquatic invertebrates, and preparations thereof (excl. extracts and juices of fish, crustaceans, molluscs or other aquatic invertebrates, prepared or preserved of SITC 01710) ;",1469,Exports
2019,"03 Fish (excl. marine mammals) crustaceans, molluscs and aquatic invertebrates, and preparations thereof (excl. extracts and juices of fish, crustaceans, molluscs or other aquatic invertebrates, prepared or preserved of SITC 01710) ;",1529,Exports
2020,"03 Fish (excl. marine mammals) crustaceans, molluscs and aquatic invertebrates, and preparations thereof (excl. extracts and juices of fish, crustaceans, molluscs or other aquatic invertebrates, prepared or preserved of SITC 01710) ;",1229,Exports
2021,"03 Fish (excl. marine mammals) crustaceans, molluscs and aquatic invertebrates, and preparations thereof (excl. extracts and juices of fish, crustaceans, molluscs or other aquatic invertebrates, prepared or preserved of SITC 01710) ;",1207,Exports
2022,"03 Fish (excl. marine mammals) crustaceans, molluscs and aquatic invertebrates, and preparations thereof (excl. extracts and juices of fish, crustaceans, molluscs or other aquatic invertebrates, prepared or preserved of SITC 01710) ;",1205,Exports
